OBJECTID,STATE_NAME,ORIG_FID,lat,lon
1,Alabama,1,30.233604306545299,-88.472951909110833
2,Alabama,1,35.016033614060056,-88.472951909110833
3,Alabama,1,35.016033614060056,-84.894015913617821
4,Alabama,1,30.233604306545299,-84.894015913617821
5,Alabama,1,30.233604306545299,-88.472951909110833
6,Alaska,2,51.583032574767373,-178.217598400106650
7,Alaska,2,71.406235408594313,-178.217598400106650
8,Alaska,2,71.406235408594313,-129.992235284051300
9,Alaska,2,51.583032574767373,-129.992235284051300
10,Alaska,2,51.583032574767373,-178.217598400106650
11,Arizona,3,31.335634020955577,-114.821761176007290
12,Arizona,3,37.003925976688926,-114.821761176007290
13,Arizona,3,37.003925976688926,-109.045615023002670
14,Arizona,3,31.335634020955577,-109.045615023002670
15,Arizona,3,31.335634020955577,-114.821761176007290
16,Arkansas,4,33.010151574106906,-94.617257092559711
17,Arkansas,4,36.492811108441437,-94.617257092559711
18,Arkansas,4,36.492811108441437,-89.645479202129025
19,Arkansas,4,33.010151574106906,-89.645479202129025
20,Arkansas,4,33.010151574106906,-94.617257092559711
21,California,5,32.535781311170275,-124.392637919223390
22,California,5,42.002191790556139,-124.392637919223390
23,California,5,42.002191790556139,-114.125230481809340
24,California,5,32.535781311170275,-114.125230481809340
25,California,5,32.535781311170275,-124.392637919223390
26,Colorado,6,36.988993876613314,-109.055861084962460
27,Colorado,6,41.003375096788041,-109.055861084962460
28,Colorado,6,41.003375096788041,-102.037207582037790
29,Colorado,6,36.988993876613314,-102.037207582037790
30,Colorado,6,36.988993876613314,-109.055861084962460
31,Connecticut,7,40.998392480638273,-73.725237615764485
32,Connecticut,7,42.047428010250997,-73.725237615764485
33,Connecticut,7,42.047428010250997,-71.788248886626064
34,Connecticut,7,40.998392480638273,-71.788248886626064
35,Connecticut,7,40.998392480638273,-73.725237615764485
36,Delaware,8,38.449602190213994,-75.791094590686043
37,Delaware,8,39.840119016971094,-75.791094590686043
38,Delaware,8,39.840119016971094,-75.045623014157641
39,Delaware,8,38.449602190213994,-75.045623014157641
40,Delaware,8,38.449602190213994,-75.791094590686043
41,District of Columbia,9,38.788233903042062,-77.122328325622902
42,District of Columbia,9,38.993541185888127,-77.122328325622902
43,District of Columbia,9,38.993541185888127,-76.910904695023405
44,District of Columbia,9,38.788233903042062,-76.910904695023405
45,District of Columbia,9,38.788233903042062,-77.122328325622902
46,Florida,10,24.956376381729722,-87.625711607094487
47,Florida,10,31.003157197750166,-87.625711607094487
48,Florida,10,31.003157197750166,-80.050910813530749
49,Florida,10,24.956376381729722,-80.050910813530749
50,Florida,10,24.956376381729722,-87.625711607094487
51,Georgia,11,30.361291783243086,-85.608960199051154
52,Georgia,11,35.000366673941912,-85.608960199051154
53,Georgia,11,35.000366673941912,-80.894753599107673
54,Georgia,11,30.361291783243086,-80.894753599107673
55,Georgia,11,30.361291783243086,-85.608960199051154
56,Hawaii,12,18.921786299848836,-160.242406193955220
57,Hawaii,12,22.229119880636208,-160.242406193955220
58,Hawaii,12,22.229119880636208,-154.791095976170170
59,Hawaii,12,18.921786299848836,-154.791095976170170
60,Hawaii,12,18.921786299848836,-160.242406193955220
61,Idaho,13,41.994599493551632,-117.236920874314550
62,Idaho,13,48.999950496485027,-117.236920874314550
63,Idaho,13,48.999950496485027,-111.046771188131840
64,Idaho,13,41.994599493551632,-111.046771188131840
65,Idaho,13,41.994599493551632,-117.236920874314550
66,Illinois,14,36.986822303241802,-91.516284022703942
67,Illinois,14,42.509363697488013,-91.516284022703942
68,Illinois,14,42.509363697488013,-87.507909480920986
69,Illinois,14,36.986822303241802,-87.507909480920986
70,Illinois,14,36.986822303241802,-91.516284022703942
71,Indiana,15,37.776224274817793,-88.101489903622607
72,Indiana,15,41.765540318187135,-88.101489903622607
73,Indiana,15,41.765540318187135,-84.787446094483187
74,Indiana,15,37.776224274817793,-84.787446094483187
75,Indiana,15,37.776224274817793,-88.101489903622607
76,Iowa,16,40.371946590677155,-96.640709197800660
77,Iowa,16,43.501457418017587,-96.640709197800660
78,Iowa,16,43.501457418017587,-90.142796789601718
79,Iowa,16,40.371946590677155,-90.142796789601718
80,Iowa,16,40.371946590677155,-96.640709197800660
81,Kansas,17,36.988875711475650,-102.051535595835130
82,Kansas,17,40.002987808559176,-102.051535595835130
83,Kansas,17,40.002987808559176,-94.601224311711704
84,Kansas,17,36.988875711475650,-94.601224311711704
85,Kansas,17,36.988875711475650,-102.051535595835130
86,Kentucky,18,36.496570423706054,-89.568231194266971
87,Kentucky,18,39.142063781218781,-89.568231194266971
88,Kentucky,18,39.142063781218781,-81.959575217993134
89,Kentucky,18,36.496570423706054,-81.959575217993134
90,Kentucky,18,36.496570423706054,-89.568231194266971
91,Louisiana,19,28.939655700517058,-94.041785392649004
92,Louisiana,19,33.023422422002575,-94.041785392649004
93,Louisiana,19,33.023422422002575,-89.021802911434079
94,Louisiana,19,28.939655700517058,-89.021802911434079
95,Louisiana,19,28.939655700517058,-94.041785392649004
96,Maine,20,43.091050586781527,-71.087509321217325
97,Maine,20,47.453334474195998,-71.087509321217325
98,Maine,20,47.453334474195998,-66.969270999849613
99,Maine,20,43.091050586781527,-66.969270999849613
100,Maine,20,43.091050586781527,-71.087509321217325
101,Maryland,21,37.970254906383381,-79.489864777882033
102,Maryland,21,39.725461084427650,-79.489864777882033
103,Maryland,21,39.725461084427650,-75.045623014157641
104,Maryland,21,37.970254906383381,-75.045623014157641
105,Maryland,21,37.970254906383381,-79.489864777882033
106,Massachusetts,22,41.238279685380277,-73.498839975778836
